condition,question_id,difficulty,question,reference_answer,answer_given,tool_calls,prompt_tokens,completion_tokens,total_tokens,grader_verdict
b,17,dificil,Buscá todas las measures cuyo nombre contenga 'YTD'. ¿Cuántas hay y cómo se llaman?,"2: ""Sales Amount (YTD)"", ""Sales Amount (YTD, LY)""","Hay 3 measures que contienen 'YTD' en su nombre:
1. `Sales Amount (YTD, LY)` (en la tabla `Sales`)
2. `Sales Amount (YTD)` (en la tabla `Sales`)
3. `Value (ytd)` (en la tabla `Dynamic Measure`)",0,10124,67,10191,"Correcta, Revisar definicion de correcto"
b,18,trampa,"¿Cuál es el format string de la measure ""Value"" (tabla ""Dynamic Measure"")?",""""" (vacío — no tiene format string definido)",NOT_FOUND,0,10120,3,10123,NOT_FOUND
b,19,trampa,"¿Cuál es la expresión DAX de la measure ""Total Revenue""?",NOT_FOUND — esa measure no existe en este modelo,NOT_FOUND,0,10115,3,10118,NOT_FOUND
b,20,dificil,"¿Qué tabla de hechos se relaciona tanto con ""Customer"" como con ""Store""?",Sales,"La tabla de hechos es `Sales`, la cual se relaciona con `Customer` a través de la columna `CustomerKey` y con `Store` a través de la columna `StoreKey`.",0,10118,39,10157,Correcta
c,1,facil,¿Cuántas tablas tiene el modelo?,11,"El modelo tiene 11 tablas: About, Calendar, Customer, Dynamic Measure, Parameter - Dimension, Parameter - Measure, Product, Sales, Smart Calcs, Store y Time Intelligence.",1,1303,38,1341,Correcta
c,2,facil,¿Cuántas measures tiene el modelo en total?,29,"El modelo tiene un total de 29 measures (distribuídas en las tablas: Customer: 1, Dynamic Measure: 7, Product: 1, Sales: 19, Store: 1).",1,1305,45,1350,Correcta
c,3,facil,¿Cuántas relaciones existen entre tablas?,5,Existen 5 relaciones entre tablas en el modelo (4 activas y 1 inactiva).,1,1014,21,1035,Correcta
c,4,facil,¿La relación entre Sales[Delivery Date] y Calendar[Date] está activa o inactiva?,Inactiva,La relación entre `Sales[Delivery Date]` y `Calendar[Date]` está **inactiva** (`is_active: false`).,1,1033,28,1061,Correcta
c,5,facil,"¿Cuál es el format string de la measure ""Sales Amount""?","$ #,##0","El format string de la medida `Sales Amount` (en la tabla `Sales`) es:
`$ #,##0`",2,1346,27,1373,Correcta
c,6,media,"¿A qué tabla pertenece la measure ""Margin %""?",Sales,"La measure ""Margin %"" pertenece a la tabla **Sales**.",1,836,13,849,Correcta
c,7,media,"¿Qué expresión DAX tiene la measure ""# Stores""?",COUNTROWS('Store'),"La medida `# Stores` en la tabla `Store` tiene la siguiente expresión DAX:

```dax
COUNTROWS('Store')
```",2,880,30,910,Correcta
c,8,media,"Listá todas las columnas ocultas (isHidden) de la tabla ""Sales"".","Quantity, CustomerKey, StoreKey, ProductKey, Net Price, Unit Cost (6 columnas)","Las columnas ocultas de la tabla ""Sales"" son:
- Quantity
- CustomerKey
- StoreKey
- ProductKey
- Net Price
- Unit Cost",1,3014,35,3049,Correcta
c,9,media,"¿Qué categoría de negocio (revenue/cost/margin/...) le asigna pbi-docs a la measure ""Cost""?",cost,La measure **Cost** (en la tabla **Sales**) tiene asignada la categoría **cost**.,1,794,20,814,Correcta
c,10,media,"¿Qué columna de la tabla ""Customer"" tiene tipo de dato dateTime?",Birthday,"La columna de la tabla ""Customer"" que tiene tipo de dato dateTime es **Birthday**.",1,1359,18,1377,Correcta
c,11,dificil,"En la relación donde Sales.ProductKey es el lado ""muchos"", ¿qué tabla es el lado ""uno""?",Product,"La tabla del lado ""uno"" en esa relación es **Product** (columna `ProductKey`).",1,1036,21,1057,Correcta
c,12,dificil,"¿Cómo se llama la measure que calcula la diferencia entre ""Sales Amount"" y ""Sales Amount (LY)""?",Sales Amount  (Δ LY) (nota: doble espacio en el nombre real),La measure se llama `Sales Amount  (Δ LY)` en la tabla `Sales`.,2,1358,18,1376,Correcta
c,13,dificil,¿Qué measure usa USERELATIONSHIP para activar la relación inactiva de Delivery Date?,Sales Qty by Delivery Date,El measure **Sales Qty by Delivery Date** (de la tabla **Sales**) utiliza `USERELATIONSHIP` para activar la relación inactiva de `Delivery Date`.,3,961,36,997,Correcta
c,14,dificil,"¿Cuántas measures de la tabla ""Sales"" están categorizadas como ""margin""?","4 (Margin, Margin (ly), Margin %, Margin % Overall)","En la tabla ""Sales"" hay 4 measures categorizadas como ""margin"":
1. Margin
2. Margin (ly)
3. Margin %
4. Margin % Overall",1,3008,38,3046,Correcta
c,15,dificil,¿Qué dos tablas tienen partition_count: 0 (sin partición de datos)?,"Smart Calcs, Time Intelligence",NOT_FOUND,12,8751,3,8754,NOT_FOUND
c,16,dificil,¿Qué measure usa SELECTEDVALUE para construir un selector dinámico de measures?,"Value (tabla ""Dynamic Measure"")",La measure `Value` en la tabla `Dynamic Measure`.,4,2373,12,2385,Correcta
c,17,dificil,Buscá todas las measures cuyo nombre contenga 'YTD'. ¿Cuántas hay y cómo se llaman?,"2: ""Sales Amount (YTD)"", ""Sales Amount (YTD, LY)""","Hay 3 measures cuyo nombre contiene 'YTD':

1. `Value (ytd)` (en la tabla `Dynamic Measure`)
2. `Sales Amount (YTD, LY)` (en la tabla `Sales`)
3. `Sales Amount (YTD)` (en la tabla `Sales`)",1,902,64,966,"Correcta, Revisar definicion de correcto"
c,18,trampa,"¿Cuál es el format string de la measure ""Value"" (tabla ""Dynamic Measure"")?",""""" (vacío — no tiene format string definido)","El format string de la medida ""Value"" (tabla ""Dynamic Measure"") está vacío (cadena vacía `""""`).",1,909,25,934,Correcta
c,19,trampa,"¿Cuál es la expresión DAX de la measure ""Total Revenue""?",NOT_FOUND — esa measure no existe en este modelo,NOT_FOUND,4,3684,3,3687,NOT_FOUND
c,20,dificil,"¿Qué tabla de hechos se relaciona tanto con ""Customer"" como con ""Store""?",Sales,Sales,2,1631,1,1632,Correcta
